model,approach,id_accuracy
OPT-6.7B,CD_LoRA,"62,99"
OPT-6.7B,CD_LoRA,"63,09"
OPT-6.7B,CD_LoRA,"58,59"
OPT-350M,ICL,"52,15"
OPT-350M,ICL,"52,64"
OPT-350M,ICL,"54,2"
OPT-350M,ICL,"55,57"
OPT-350M,ICL,"52,25"
OPT-350M,ICL,"54,88"
OPT-350M,ICL,"56,54"
OPT-350M,ICL,"57,03"
OPT-350M,ICL,"52,15"
OPT-350M,ICL,"57,32"
OPT-1.3B,ICL,"63,77"
OPT-1.3B,ICL,"58,69"
OPT-1.3B,ICL,"54,29"
OPT-1.3B,ICL,"66,21"
OPT-1.3B,ICL,"63,48"
OPT-1.3B,ICL,"49,22"
OPT-1.3B,ICL,"62,79"
OPT-1.3B,ICL,"66,79"
OPT-1.3B,ICL,"59,38"
OPT-1.3B,ICL,"57,71"
OPT-2.7B,ICL,"65,04"
OPT-2.7B,ICL,"57,62"
OPT-2.7B,ICL,"53,71"
OPT-2.7B,ICL,"57,52"
OPT-2.7B,ICL,"53,81"
OPT-2.7B,ICL,"60,25"
OPT-2.7B,ICL,"60,64"
OPT-2.7B,ICL,"59,18"
OPT-2.7B,ICL,"52,73"
OPT-2.7B,ICL,"65,92"
OPT-6.7B,ICL,"69,24"
OPT-6.7B,ICL,"70,11"
OPT-6.7B,ICL,"65,63"
OPT-6.7B,ICL,"62,69"
OPT-6.7B,ICL,"66,89"
OPT-6.7B,ICL,"67,87"
OPT-6.7B,ICL,"70,02"
OPT-6.7B,ICL,"66,99"
OPT-6.7B,ICL,"62,99"
OPT-6.7B,ICL,"69,14"
