text,input_ids,attention_mask,label,exp,idx_example,OPT_prob_CD,OPT_idx_CD
"[""{Corruption and tax-evasion continued, but police clamped down on the political terrorism of the Red Brigades and neo-Fascists and the age-old criminality of the Mafia.} question: {Police didn't fight terrorism at all.} Yes or No? answer: Ġ""]","[[2, 45152, 15228, 26858, 8, 629, 12, 3623, 27720, 1143, 6, 53, 249, 3741, 16458, 159, 15, 5, 559, 4952, 9, 5, 1211, 17443, 4216, 8, 17863, 12, 597, 8631, 1952, 8, 5, 1046, 12, 279, 35322, 9, 5, 37516, 49463, 864, 35, 25522, 9497, 399, 75, 1032, 4952, 23, 70, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[3],[1],"[[0.6259765625, 0.36962890625, 0.0003330707550048828, 0.0003097057342529297, 0.0003027915954589844, 0.00015401840209960938, 0.0001266002655029297, 0.00012046098709106445, 0.00010985136032104492, 0.00010287761688232422, 9.757280349731445e-05, 8.350610733032227e-05, 7.76052474975586e-05, 7.593631744384766e-05, 7.146596908569336e-05, 6.854534149169922e-05, 5.7637691497802734e-05, 5.3882598876953125e-05, 4.851818084716797e-05, 4.696846008300781e-05, 4.166364669799805e-05, 3.719329833984375e-05, 3.331899642944336e-05, 3.3020973205566406e-05, 3.266334533691406e-05, 3.165006637573242e-05, 3.0875205993652344e-05, 2.765655517578125e-05, 2.6464462280273438e-05, 2.6404857635498047e-05, 2.5093555450439453e-05, 2.4974346160888672e-05, 2.4199485778808594e-05, 2.384185791015625e-05, 2.3305416107177734e-05, 2.2709369659423828e-05, 2.2530555725097656e-05, 2.09808349609375e-05, 1.996755599975586e-05, 1.8656253814697266e-05, 1.8596649169921875e-05, 1.8596649169921875e-05, 1.6033649444580078e-05, 1.5854835510253906e-05, 1.5616416931152344e-05, 1.537799835205078e-05, 1.5020370483398438e-05, 1.5020370483398438e-05, 1.4901161193847656e-05, 1.4722347259521484e-05, 0.00146484375]]","[[3084, 9904, 7199, 13449, 14541, 14783, 10932, 36948, 440, 487, 3216, 975, 46659, 100, 35882, 41010, 32523, 29802, 32541, 46236, 2362, 22491, 243, 14563, 250, 2895, 8346, 1121, 32458, 133, 50118, 116, 7516, 1711, 17425, 16991, 9690, 37128, 4420, 33082, 39254, 1640, 3849, 19897, 31535, 4056, 12350, 1106, 19847, 6766]]"
"[""{So that's the next } question: {That isn't going to be next} Yes or No? answer: Ġ""]","[[2, 45152, 2847, 14, 18, 5, 220, 35524, 864, 35, 25522, 1711, 965, 75, 164, 7, 28, 220, 24303, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[3],[2],"[[0.62158203125, 0.34521484375, 0.0022602081298828125, 0.0017986297607421875, 0.0014772415161132812, 0.0012845993041992188, 0.001262664794921875, 0.0008339881896972656, 0.0008006095886230469, 0.000640869140625, 0.0006213188171386719, 0.0006117820739746094, 0.0005078315734863281, 0.0004858970642089844, 0.0004820823669433594, 0.0004584789276123047, 0.0004515647888183594, 0.00042438507080078125, 0.00041866302490234375, 0.0004169940948486328, 0.0003726482391357422, 0.000370025634765625, 0.0003268718719482422, 0.0003230571746826172, 0.0003209114074707031, 0.0002741813659667969, 0.00026702880859375, 0.00024390220642089844, 0.0002281665802001953, 0.0002162456512451172, 0.00019609928131103516, 0.00019311904907226562, 0.00019240379333496094, 0.00018680095672607422, 0.0001823902130126953, 0.00017881393432617188, 0.0001742839813232422, 0.00017023086547851562, 0.0001678466796875, 0.00015604496002197266, 0.0001556873321533203, 0.0001552104949951172, 0.0001519918441772461, 0.0001500844955444336, 0.00014770030975341797, 0.0001468658447265625, 0.00014603137969970703, 0.00014221668243408203, 0.00013935565948486328, 0.0001323223114013672, 0.01171875]]","[[3084, 9904, 14541, 7199, 100, 14783, 487, 1711, 243, 116, 7516, 10932, 33082, 13449, 46236, 35882, 975, 2362, 1185, 19192, 133, 36948, 22491, 32541, 8346, 2264, 29802, 32523, 713, 31535, 250, 36446, 12350, 42903, 50118, 1106, 440, 41010, 26752, 17425, 170, 6209, 6766, 3849, 19847, 5975, 1640, 13987, 27847, 29774]]"
"[""{Second, we held that the LSCA did not explicitly authorize a private right of action against the LSC.} question: {The LCSA's private right of action against the LSC wasn't explicitly authorized.} Yes or No? answer: Ġ""]","[[2, 45152, 32703, 6, 52, 547, 14, 5, 226, 3632, 250, 222, 45, 16369, 29080, 10, 940, 235, 9, 814, 136, 5, 226, 3632, 49463, 864, 35, 25522, 133, 24756, 3603, 18, 940, 235, 9, 814, 136, 5, 226, 3632, 938, 75, 16369, 8672, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[3],[3],"[[0.68408203125, 0.31005859375, 0.0003428459167480469, 0.0003323554992675781, 0.0003192424774169922, 0.0002875328063964844, 0.0002503395080566406, 0.00022900104522705078, 0.00014066696166992188, 0.00013780593872070312, 0.00012612342834472656, 0.00011521577835083008, 0.00010973215103149414, 0.00010943412780761719, 0.00010287761688232422, 6.604194641113281e-05, 6.514787673950195e-05, 5.501508712768555e-05, 5.4717063903808594e-05, 5.424022674560547e-05, 5.370378494262695e-05, 5.179643630981445e-05, 4.89354133605957e-05, 4.678964614868164e-05, 4.655122756958008e-05, 4.64320182800293e-05, 4.398822784423828e-05, 4.297494888305664e-05, 4.2319297790527344e-05, 4.088878631591797e-05, 3.975629806518555e-05, 3.7789344787597656e-05, 3.600120544433594e-05, 3.546476364135742e-05, 3.516674041748047e-05, 3.4809112548828125e-05, 3.30805778503418e-05, 3.248453140258789e-05, 3.230571746826172e-05, 3.0517578125e-05, 3.0219554901123047e-05, 3.0159950256347656e-05, 2.9802322387695312e-05, 2.6881694793701172e-05, 2.3066997528076172e-05, 2.2649765014648438e-05, 2.2411346435546875e-05, 2.205371856689453e-05, 2.181529998779297e-05, 2.181529998779297e-05, 0.001953125]]","[[9904, 3084, 10932, 7199, 36948, 975, 14783, 3216, 41010, 14541, 100, 487, 46236, 13449, 46659, 133, 250, 243, 1121, 32541, 3849, 440, 50118, 33567, 14563, 1711, 16991, 8346, 29802, 4420, 33082, 35882, 32523, 2362, 113, 13984, 7516, 39254, 37128, 19897, 43429, 116, 17425, 4056, 9690, 22491, 1185, 2895, 713, 42025]]"
['{uh well for example uh in Greek there are seven different words for love} question: {The word love only has one word meaning in the Greek language.} Yes or No? answer: Ġ'],"[[2, 45152, 2957, 157, 13, 1246, 37463, 11, 5617, 89, 32, 707, 430, 1617, 13, 657, 24303, 864, 35, 25522, 133, 2136, 657, 129, 34, 65, 2136, 3099, 11, 5, 5617, 2777, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[3],[4],"[[0.53369140625, 0.455810546875, 0.0006818771362304688, 0.0005674362182617188, 0.0004987716674804688, 0.00043129920959472656, 0.00041031837463378906, 0.0003657341003417969, 0.0002608299255371094, 0.00025963783264160156, 0.00023365020751953125, 0.0002307891845703125, 0.00019681453704833984, 0.00019443035125732422, 0.00019097328186035156, 0.00016510486602783203, 0.00014960765838623047, 0.00013458728790283203, 0.0001277923583984375, 0.00011473894119262695, 0.0001112818717956543, 0.00010955333709716797, 0.00010764598846435547, 9.655952453613281e-05, 9.393692016601562e-05, 9.185075759887695e-05, 8.565187454223633e-05, 8.177757263183594e-05, 7.367134094238281e-05, 6.80685043334961e-05, 6.538629531860352e-05, 6.508827209472656e-05, 6.35385513305664e-05, 6.258487701416016e-05, 6.0498714447021484e-05, 5.632638931274414e-05, 5.543231964111328e-05, 5.2869319915771484e-05, 5.173683166503906e-05, 4.7326087951660156e-05, 4.309415817260742e-05, 4.0531158447265625e-05, 3.9517879486083984e-05, 3.904104232788086e-05, 3.7789344787597656e-05, 3.6835670471191406e-05, 3.635883331298828e-05, 3.36766242980957e-05, 3.361701965332031e-05, 3.3020973205566406e-05, 0.00341796875]]","[[3084, 9904, 10932, 36948, 13449, 487, 14783, 7199, 975, 100, 3216, 2362, 14563, 46659, 14541, 41010, 440, 29802, 46236, 243, 7516, 250, 116, 22491, 133, 32541, 26752, 1185, 42903, 3849, 33082, 37128, 1121, 8346, 30612, 2264, 1711, 4420, 33567, 32523, 19897, 42025, 12350, 35882, 38980, 970, 31535, 13984, 19847, 17986]]"
"[""{You yourself did not happen to notice, madame, when you entered Mrs. Inglethorp's room, whether that door was bolted or not?} question: {Did you notice if the door Mrs. Inglethorp's room was locked or not?} Yes or No? answer: Ġ""]","[[2, 45152, 1185, 2512, 222, 45, 1369, 7, 3120, 6, 7758, 4344, 6, 77, 47, 2867, 3801, 4, 11996, 459, 212, 10782, 18, 929, 6, 549, 14, 1883, 21, 37584, 50, 45, 116, 24303, 864, 35, 25522, 20328, 47, 3120, 114, 5, 1883, 3801, 4, 11996, 459, 212, 10782, 18, 929, 21, 5930, 50, 45, 116, 24303, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[3],[5],"[[0.62353515625, 0.36865234375, 0.00047659873962402344, 0.0004303455352783203, 0.0003883838653564453, 0.0003745555877685547, 0.0003516674041748047, 0.0002460479736328125, 0.00019931793212890625, 0.00018489360809326172, 0.00018167495727539062, 0.0001653432846069336, 0.00015997886657714844, 0.00015473365783691406, 0.00011914968490600586, 0.00011843442916870117, 0.00011688470840454102, 9.417533874511719e-05, 9.149312973022461e-05, 8.928775787353516e-05, 8.577108383178711e-05, 8.153915405273438e-05, 7.897615432739258e-05, 7.87973403930664e-05, 7.408857345581055e-05, 7.170438766479492e-05, 7.158517837524414e-05, 7.11679458618164e-05, 6.824731826782227e-05, 5.5730342864990234e-05, 5.4001808166503906e-05, 5.1081180572509766e-05, 4.929304122924805e-05, 4.70280647277832e-05, 4.404783248901367e-05, 4.208087921142578e-05, 3.9577484130859375e-05, 3.641843795776367e-05, 3.606081008911133e-05, 3.600120544433594e-05, 3.5643577575683594e-05, 3.55839729309082e-05, 3.546476364135742e-05, 3.510713577270508e-05, 3.4809112548828125e-05, 3.337860107421875e-05, 3.260374069213867e-05, 3.069639205932617e-05, 2.664327621459961e-05, 2.6166439056396484e-05, 0.00244140625]]","[[9904, 3084, 14783, 10932, 14541, 7199, 100, 3216, 50118, 13449, 975, 487, 36948, 32541, 35882, 243, 440, 41010, 250, 20328, 46236, 7516, 133, 116, 8346, 16991, 2362, 1106, 1185, 1711, 1121, 32523, 39254, 2264, 4420, 33082, 3849, 22491, 1213, 32458, 1640, 46659, 29802, 10643, 37128, 12350, 2895, 17425, 9690, 7608]]"
"[""{If you're up to a climb, take the Mount Austin road to the Victoria Peak Gardens.} question: {It is a hike to get to the Victoria Peak Gardens.} Yes or No? answer: Ġ""]","[[2, 45152, 1106, 47, 214, 62, 7, 10, 8264, 6, 185, 5, 5455, 4224, 921, 7, 5, 4769, 19704, 12222, 49463, 864, 35, 25522, 243, 16, 10, 5960, 7, 120, 7, 5, 4769, 19704, 12222, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[3],[6],"[[0.84228515625, 0.15283203125, 0.0003871917724609375, 0.00030994415283203125, 0.00028395652770996094, 0.00027680397033691406, 0.00026988983154296875, 0.0001767873764038086, 0.00016880035400390625, 0.0001329183578491211, 9.483098983764648e-05, 8.547306060791016e-05, 8.088350296020508e-05, 7.849931716918945e-05, 5.990266799926758e-05, 5.799531936645508e-05, 5.543231964111328e-05, 5.125999450683594e-05, 4.756450653076172e-05, 4.649162292480469e-05, 4.5359134674072266e-05, 4.5180320739746094e-05, 3.737211227416992e-05, 3.5643577575683594e-05, 3.4689903259277344e-05, 3.4332275390625e-05, 3.3020973205566406e-05, 3.272294998168945e-05, 3.1888484954833984e-05, 3.141164779663086e-05, 2.9742717742919922e-05, 2.9385089874267578e-05, 2.9206275939941406e-05, 2.8908252716064453e-05, 2.8014183044433594e-05, 2.6702880859375e-05, 2.6464462280273438e-05, 2.5570392608642578e-05, 2.4259090423583984e-05, 2.3663043975830078e-05, 2.294778823852539e-05, 2.09808349609375e-05, 1.913309097290039e-05, 1.895427703857422e-05, 1.8835067749023438e-05, 1.7583370208740234e-05, 1.728534698486328e-05, 1.710653305053711e-05, 1.6570091247558594e-05, 1.5735626220703125e-05, 0.00146484375]]","[[9904, 3084, 975, 10932, 3216, 41010, 14541, 14783, 7199, 36948, 46236, 32541, 100, 13449, 487, 50118, 250, 4420, 32523, 3849, 243, 35882, 1106, 33082, 116, 2895, 7516, 9690, 8346, 1121, 440, 16991, 1185, 12350, 4056, 46659, 133, 43429, 26752, 14563, 22491, 32458, 29802, 19933, 17425, 37478, 29774, 1711, 2709, 2362]]"
"['{Yet Hawaii was still an island paradise in the eyes of travelers, if not in those of its original people.} question: {Travelers think that Hawaii is an island paradise.} Yes or No? answer: Ġ']","[[2, 45152, 34995, 6467, 21, 202, 41, 2946, 26215, 11, 5, 2473, 9, 11774, 6, 114, 45, 11, 167, 9, 63, 1461, 82, 49463, 864, 35, 25522, 39258, 268, 206, 14, 6467, 16, 41, 2946, 26215, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[3],[8],"[[0.578125, 0.417236328125, 0.0003426074981689453, 0.0003399848937988281, 0.00032711029052734375, 0.00025010108947753906, 0.00023496150970458984, 0.00015401840209960938, 0.00014650821685791016, 0.0001405477523803711, 0.00010460615158081055, 0.00010341405868530273, 9.59634780883789e-05, 8.910894393920898e-05, 8.791685104370117e-05, 7.206201553344727e-05, 7.176399230957031e-05, 5.59687614440918e-05, 4.297494888305664e-05, 4.285573959350586e-05, 4.1365623474121094e-05, 3.999471664428711e-05, 3.9696693420410156e-05, 3.844499588012695e-05, 3.743171691894531e-05, 3.695487976074219e-05, 2.9087066650390625e-05, 2.8014183044433594e-05, 2.6404857635498047e-05, 2.5212764739990234e-05, 2.491474151611328e-05, 2.47955322265625e-05, 2.47955322265625e-05, 2.3663043975830078e-05, 2.3663043975830078e-05, 2.3066997528076172e-05, 2.2351741790771484e-05, 2.2113323211669922e-05, 2.0444393157958984e-05, 1.8417835235595703e-05, 1.7940998077392578e-05, 1.7702579498291016e-05, 1.7464160919189453e-05, 1.710653305053711e-05, 1.6391277313232422e-05, 1.621246337890625e-05, 1.615285873413086e-05, 1.5914440155029297e-05, 1.5854835510253906e-05, 1.5556812286376953e-05, 0.0009765625]]","[[9904, 3084, 36948, 14541, 10932, 7199, 14783, 975, 3216, 13449, 41010, 100, 487, 32541, 46659, 35882, 46236, 440, 8346, 2895, 32523, 250, 4420, 243, 2362, 14563, 7516, 1121, 9690, 17425, 1711, 22491, 16991, 133, 50118, 32458, 33082, 29802, 12350, 116, 25101, 13984, 48117, 19897, 1640, 37128, 43429, 26752, 42903, 1106]]"
['{Now we have become an atomized society of individuals who get their news--if they get it at all--from TV.} question: {All of our news is on radio and in newspapers.} Yes or No? answer: Ġ'],"[[2, 45152, 5975, 52, 33, 555, 41, 37113, 1538, 2313, 9, 2172, 54, 120, 49, 340, 5579, 1594, 51, 120, 24, 23, 70, 5579, 7761, 1012, 49463, 864, 35, 25522, 3684, 9, 84, 340, 16, 15, 3188, 8, 11, 9911, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[3],[9],"[[0.50732421875, 0.486328125, 0.0003802776336669922, 0.00036978721618652344, 0.00032973289489746094, 0.00023114681243896484, 0.0001989603042602539, 0.00019371509552001953, 0.0001888275146484375, 0.00016021728515625, 0.00014793872833251953, 0.0001214742660522461, 0.00011909008026123047, 0.0001055002212524414, 0.00010061264038085938, 9.715557098388672e-05, 9.298324584960938e-05, 8.225440979003906e-05, 7.31348991394043e-05, 7.176399230957031e-05, 6.41942024230957e-05, 6.270408630371094e-05, 6.008148193359375e-05, 5.91278076171875e-05, 5.835294723510742e-05, 5.3822994232177734e-05, 5.364418029785156e-05, 4.9114227294921875e-05, 4.83393669128418e-05, 4.774332046508789e-05, 4.5418739318847656e-05, 4.404783248901367e-05, 4.3332576751708984e-05, 4.214048385620117e-05, 3.8564205169677734e-05, 3.784894943237305e-05, 3.546476364135742e-05, 3.4928321838378906e-05, 3.272294998168945e-05, 3.260374069213867e-05, 3.0934810638427734e-05, 3.0159950256347656e-05, 2.9385089874267578e-05, 2.9265880584716797e-05, 2.9146671295166016e-05, 2.855062484741211e-05, 2.586841583251953e-05, 2.5451183319091797e-05, 2.5272369384765625e-05, 2.3663043975830078e-05, 0.001953125]]","[[3084, 9904, 14783, 14541, 7199, 10932, 36948, 100, 13449, 487, 35882, 3216, 975, 46236, 440, 32541, 41010, 32523, 46659, 243, 2895, 250, 29802, 16991, 22491, 133, 8346, 116, 7516, 1711, 14563, 42903, 50118, 1185, 2362, 17425, 4056, 1121, 33082, 12350, 3849, 38980, 39254, 1106, 32458, 48117, 42025, 9690, 25101, 4420]]"
['{ To Help You Order  } question: {Help your order here.} Yes or No? answer: Ġ'],"[[2, 45152, 598, 10310, 370, 9729, 1437, 35524, 864, 35, 25522, 28780, 110, 645, 259, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[3],[10],"[[0.8525390625, 0.1337890625, 0.0008864402770996094, 0.0008349418640136719, 0.0006937980651855469, 0.0005998611450195312, 0.0003974437713623047, 0.0002872943878173828, 0.0002856254577636719, 0.0002760887145996094, 0.00027298927307128906, 0.00023567676544189453, 0.0002199411392211914, 0.00019061565399169922, 0.00018513202667236328, 0.00016224384307861328, 0.00015807151794433594, 0.00014770030975341797, 0.00014448165893554688, 0.0001289844512939453, 0.00012421607971191406, 0.00012099742889404297, 0.00011992454528808594, 0.00010859966278076172, 0.00010228157043457031, 0.00010013580322265625, 9.781122207641602e-05, 9.465217590332031e-05, 9.268522262573242e-05, 9.125471115112305e-05, 8.791685104370117e-05, 8.7738037109375e-05, 8.684396743774414e-05, 7.796287536621094e-05, 7.545948028564453e-05, 7.492303848266602e-05, 7.224082946777344e-05, 6.902217864990234e-05, 6.669759750366211e-05, 6.651878356933594e-05, 6.532669067382812e-05, 6.312131881713867e-05, 6.145238876342773e-05, 5.990266799926758e-05, 5.8650970458984375e-05, 5.7220458984375e-05, 5.346536636352539e-05, 5.036592483520508e-05, 4.935264587402344e-05, 4.839897155761719e-05, 0.00537109375]]","[[9904, 3084, 10932, 41010, 3216, 975, 14783, 13449, 100, 32541, 14541, 7199, 1185, 46236, 487, 250, 36948, 9335, 50118, 116, 45613, 6715, 28780, 26752, 243, 13987, 31414, 33082, 8275, 133, 32523, 1106, 7516, 4420, 3849, 29802, 6766, 9690, 14181, 2362, 37478, 170, 7598, 713, 2264, 3684, 440, 22491, 22086, 31535]]"
"['{Well, they\'ll produce a Jane Finn of their own say at a pensionnat in Paris."" Tuppence gasped, and Mr. Carter smiled.} question: {Tuppence gasped, and so did Mr. Carter.} Yes or No? answer: Ġ']","[[2, 45152, 8346, 6, 51, 581, 2592, 10, 7343, 14533, 9, 49, 308, 224, 23, 10, 4931, 26992, 11, 2201, 72, 255, 12151, 4086, 44918, 6, 8, 427, 4, 5306, 20185, 49463, 864, 35, 25522, 565, 12151, 4086, 44918, 6, 8, 98, 222, 427, 4, 5306, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[3],[11],"[[0.5771484375, 0.413818359375, 0.0003490447998046875, 0.00034046173095703125, 0.00032901763916015625, 0.0003123283386230469, 0.00028228759765625, 0.00020432472229003906, 0.00019443035125732422, 0.00018417835235595703, 0.00017535686492919922, 0.00016224384307861328, 0.0001531839370727539, 0.0001354217529296875, 0.0001283884048461914, 0.00012254714965820312, 0.0001195073127746582, 0.00011920928955078125, 0.00010734796524047852, 0.00010180473327636719, 9.566545486450195e-05, 9.423494338989258e-05, 9.417533874511719e-05, 8.869171142578125e-05, 8.368492126464844e-05, 8.308887481689453e-05, 8.273124694824219e-05, 7.987022399902344e-05, 7.981061935424805e-05, 7.361173629760742e-05, 6.651878356933594e-05, 6.639957427978516e-05, 6.633996963500977e-05, 6.395578384399414e-05, 6.23464584350586e-05, 6.151199340820312e-05, 5.46574592590332e-05, 5.3942203521728516e-05, 5.173683166503906e-05, 5.0961971282958984e-05, 4.9114227294921875e-05, 4.839897155761719e-05, 4.774332046508789e-05, 4.7147274017333984e-05, 4.7087669372558594e-05, 4.655122756958008e-05, 4.571676254272461e-05, 4.118680953979492e-05, 4.017353057861328e-05, 4.017353057861328e-05, 0.00341796875]]","[[3084, 9904, 7199, 487, 100, 14541, 13449, 14783, 440, 3216, 250, 975, 7516, 243, 36948, 8346, 50118, 10932, 32541, 29802, 1640, 116, 133, 35882, 1185, 22491, 41010, 16991, 1711, 32523, 46236, 6766, 1213, 19847, 3849, 12350, 2264, 14563, 39254, 25101, 17986, 4056, 113, 32458, 1106, 9690, 19897, 2895, 5975, 894]]"
['{But I find his storytelling both morally easy and artistically promiscuous.} question: {His storytelling is easy.} Yes or No? answer: Ġ'],"[[2, 45152, 1708, 38, 465, 39, 17662, 258, 28404, 1365, 8, 3025, 3435, 12206, 4473, 12685, 49463, 864, 35, 25522, 9962, 17662, 16, 1365, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[3],[12],"[[0.66015625, 0.33056640625, 0.0006122589111328125, 0.0004897117614746094, 0.00040435791015625, 0.0004036426544189453, 0.00037479400634765625, 0.0003287792205810547, 0.0002639293670654297, 0.00023567676544189453, 0.0001767873764038086, 0.0001646280288696289, 0.00015175342559814453, 0.0001474618911743164, 0.0001214742660522461, 0.00012022256851196289, 0.00010961294174194336, 0.0001023411750793457, 0.0001016855239868164, 9.322166442871094e-05, 9.059906005859375e-05, 8.96453857421875e-05, 8.690357208251953e-05, 8.422136306762695e-05, 8.302927017211914e-05, 7.647275924682617e-05, 6.878376007080078e-05, 6.812810897827148e-05, 6.67572021484375e-05, 6.67572021484375e-05, 6.562471389770508e-05, 6.324052810668945e-05, 6.306171417236328e-05, 5.9723854064941406e-05, 5.5909156799316406e-05, 5.1856040954589844e-05, 5.0902366638183594e-05, 4.7147274017333984e-05, 4.655122756958008e-05, 4.6193599700927734e-05, 4.565715789794922e-05, 4.410743713378906e-05, 4.398822784423828e-05, 4.1365623474121094e-05, 4.011392593383789e-05, 3.886222839355469e-05, 3.808736801147461e-05, 3.802776336669922e-05, 3.361701965332031e-05, 3.230571746826172e-05, 0.0029296875]]","[[9904, 3084, 14541, 100, 7199, 14783, 36948, 975, 3216, 10932, 32541, 35882, 46236, 13449, 41010, 440, 32458, 116, 243, 487, 8346, 250, 32523, 1711, 19897, 7516, 9690, 1185, 33082, 4420, 2895, 1121, 46659, 22491, 133, 12350, 894, 2264, 50118, 1640, 113, 1106, 14563, 4056, 42025, 17425, 3849, 42903, 25101, 17986]]"
